sbd,toan,van,ngoaiNgu,vatLy,hoaHoc,sinhHoc,lichSu,diaLy,gdcd,province_name
1000325.0,7.8,8.5,7.2,,,,5.25,7.75,8.25,Hà Nội
1000326.0,6.4,7.5,7.8,,,,8.5,8.0,9.5,Hà Nội
1000327.0,5.4,7.0,8.0,,,,7.75,6.5,7.75,Hà Nội
1000328.0,7.2,8.5,5.4,,,,7.5,6.75,7.25,Hà Nội
1000329.0,8.0,8.75,9.2,,,,6.5,8.0,8.5,Hà Nội
1000330.0,7.4,9.25,7.4,,,,8.5,9.5,8.75,Hà Nội
1000331.0,6.2,8.75,8.0,,,,7.75,7.5,8.5,Hà Nội
1000332.0,7.2,8.25,,,,,8.25,7.75,,Hà Nội
1000333.0,8.4,8.75,8.0,,,,7.75,8.25,9.25,Hà Nội
1000334.0,4.6,8.0,,,,,6.5,6.75,,Hà Nội
1000335.0,8.2,8.5,7.8,,,,7.5,6.25,8.75,Hà Nội
1000336.0,5.6,7.5,,,,,5.75,7.75,,Hà Nội
1000337.0,7.8,9.0,6.0,,,,8.75,8.5,9.0,Hà Nội
1000338.0,7.8,7.5,9.4,,,,6.0,9.0,9.0,Hà Nội
1000339.0,1.6,7.75,,,,,7.5,7.75,,Hà Nội
1000340.0,4.6,9.25,9.0,,,,9.0,8.5,9.5,Hà Nội
1000341.0,8.0,9.0,8.4,,,,7.0,9.5,8.25,Hà Nội
1000342.0,5.2,8.75,2.2,,,,5.75,7.0,8.0,Hà Nội
1000343.0,7.6,9.0,6.8,,,,7.0,7.0,8.0,Hà Nội
1000344.0,5.0,9.0,4.6,,,,6.25,7.25,6.75,Hà Nội
1000345.0,7.0,8.75,9.4,,,,8.5,8.25,8.0,Hà Nội
1000346.0,8.2,9.0,9.0,,,,7.5,8.5,8.75,Hà Nội
1000347.0,,7.25,,,,,8.25,9.25,,Hà Nội
1000348.0,7.6,8.5,8.2,,,,7.25,7.75,8.5,Hà Nội
1000349.0,7.4,8.25,8.6,,,,5.5,7.5,8.25,Hà Nội
1000350.0,7.2,9.0,8.8,,,,8.25,7.0,9.0,Hà Nội
1000351.0,7.2,9.25,8.0,,,,7.5,8.5,9.0,Hà Nội
1000352.0,8.2,9.25,9.4,,,,9.25,9.25,8.25,Hà Nội
1000353.0,7.4,8.25,8.6,,,,6.25,8.0,7.75,Hà Nội
1000354.0,4.2,7.75,,,,,5.0,5.0,,Hà Nội
